Влага,Кофеин,Зола,Зола нерастворимая,Экстрактивные вещества,Степень помола,Металлические примеси
6.8,0.55,7.2,0.35,18.0,72,0.0012
7.2,0.48,7.8,0.42,16.5,68,0.0015
6.5,0.62,7.0,0.30,19.0,74,0.0009
7.5,0.42,8.2,0.55,15.0,65,0.0018
6.9,0.58,7.5,0.38,17.5,70,0.0011
7.8,0.38,8.5,0.62,14.5,62,0.0021
6.6,0.60,7.1,0.32,18.5,73,0.0010
7.1,0.50,7.9,0.45,16.0,67,0.0016
6.7,0.56,7.3,0.36,19.5,71,0.0013
7.4,0.44,8.1,0.50,15.5,66,0.0017
6.8,0.52,7.6,0.40,18.0,69,0.0014
7.6,0.40,8.3,0.58,14.8,63,0.0020
6.5,0.64,7.0,0.28,20.0,75,0.0008
7.3,0.46,7.7,0.44,16.2,68,0.0019
6.9,0.54,7.4,0.34,17.8,71,0.0012
7.0,0.50,8.0,0.48,15.8,66,0.0016
6.6,0.60,7.2,0.31,18.5,73,0.0011
7.2,0.45,7.8,0.42,16.0,67,0.0017
6.7,0.58,7.5,0.37,19.5,70,0.0013
7.5,0.42,8.2,0.55,15.0,64,0.0019
6.8,0.56,7.3,0.35,18.0,71,0.0012
7.1,0.48,7.9,0.46,16.5,68,0.0016
6.9,0.54,7.6,0.39,17.5,70,0.0014
7.3,0.46,8.0,0.50,15.5,66,0.0018
6.5,0.62,7.1,0.32,19.0,74,0.0010
7.4,0.44,8.1,0.52,15.2,65,0.0019
6.7,0.58,7.4,0.36,18.5,70,0.0013
7.0,0.50,7.8,0.44,16.0,67,0.0016
6.8,0.56,7.5,0.38,17.8,71,0.0012
7.2,0.48,8.0,0.48,15.5,66,0.0018
