Влага,Кофеин,Зола,Зола нерастворимая,Экстрактивные вещества,Степень помола,Металлические примеси
4.8,0.92,5.2,0.08,25.0,92,0.0001
5.0,0.88,5.4,0.10,26.5,89,0.0002
4.9,0.95,5.1,0.07,28.0,94,0.0001
5.2,0.85,5.5,0.12,27.5,87,0.0002
5.1,0.90,5.3,0.09,24.5,91,0.0001
4.7,0.87,5.0,0.06,29.5,95,0.0001
5.3,0.82,5.6,0.14,26.0,88,0.0002
5.0,0.93,5.2,0.08,25.5,92,0.0001
4.8,0.89,5.4,0.11,27.0,90,0.0002
5.1,0.86,5.5,0.10,24.0,93,0.0001
5.0,0.94,5.3,0.09,28.5,91,0.0001
4.9,0.88,5.1,0.07,26.5,89,0.0002
5.2,0.91,5.6,0.13,25.5,88,0.0001
5.0,0.85,5.4,0.10,27.0,92,0.0002
4.8,0.90,5.5,0.12,24.5,90,0.0001
5.1,0.87,5.2,0.08,28.0,93,0.0001
5.3,0.83,5.6,0.14,26.0,89,0.0002
5.0,0.92,5.3,0.09,25.0,91,0.0001
4.9,0.88,5.5,0.11,27.5,90,0.0002
5.2,0.90,5.4,0.10,24.5,92,0.0001
5.0,0.94,5.2,0.07,28.5,94,0.0001
5.1,0.85,5.6,0.13,26.5,88,0.0002
4.8,0.91,5.3,0.09,25.5,93,0.0001
5.0,0.87,5.5,0.12,27.0,91,0.0002
5.2,0.89,5.4,0.10,24.0,90,0.0001
4.9,0.93,5.1,0.08,28.0,92,0.0001
5.1,0.86,5.6,0.14,26.5,89,0.0002
5.0,0.90,5.4,0.11,25.5,91,0.0001
4.8,0.88,5.2,0.09,27.5,90,0.0002
5.0,0.92,5.5,0.10,24.5,92,0.0001
